fip,Tow_4-D,ATRAZINE,CHLORIMURON,DICAMBA,FOMESAFEN,GLYPHOSATE,PARAQUAT
12113,810,184.7,25.7,25.7,,14577.8,747.4
12115,277.4,10.4,,82.9,,9822.9,39.8
12117,372.9,,,25.1,,1733.7,101.8
12119,1685.4,77.9,0.6,126.4,,1403.4,57.7
12121,1995.7,2185.7,14.4,221,13.7,1340.4,300.9
12123,382.3,27.2,,12.7,,48.5,
12125,236.3,376.1,,48.8,,294.9,120.4
12127,663.5,16.8,,45.6,,3491.8,93
12129,161.4,28.2,,6.7,,1.5,1.5
12131,1765.3,176.5,12.3,69.8,,2580.3,233
12133,820.9,776.8,6,33.8,,621.8,68.3
13001,2237.8,4438.5,1.6,34.1,29.8,14492.8,2041
13003,844,1023.7,9.8,20.9,17.7,6163.3,343.2
13005,779.5,2469.5,1.1,15.1,9.5,6816.8,945.4
13007,2787.7,1835.2,20.9,39.8,7.5,5538.9,481.9
13009,440.1,161.7,,6.7,,170.1,45.6
13011,2451.6,261.5,0.2,19.6,5.8,360.9,71.5
13013,1080.5,26.7,,9.6,0.6,93.1,7.4
13015,7295.5,1117.9,2,17.8,58.6,2662.8,238.8
13017,896.1,3474.3,6.5,32.9,7,6539.5,352.1
13019,1702.5,3091.8,20.8,52.3,33.1,18185.5,1274.4
13021,528.3,266,0.5,14.5,11,695.6,122.5
13023,775.9,436.1,1.5,28.8,21.4,11925.5,359.3
13025,311.7,497.2,0.4,4.6,3.5,181.8,69
13027,2594.4,5544.4,7.4,77.2,21.3,22883.9,2958.1
13029,743.4,364.4,0.6,8.1,6,485.6,66.2
13031,8340.2,11127.8,13.4,86.9,73.6,16739.2,2606.6
13033,9371.7,9263.6,5.2,103.7,36.8,15213.8,2078.5
13035,541.8,174.6,,9.8,,201.2,71.3
13037,1886.5,1090.1,24.6,32.5,11,9264.8,1286.3
13039,242,74.7,,2.5,,16.4,1.7
13043,3246,2136.9,1.5,28,9.5,5276.5,795.1
13045,3143,65.1,,65,,360.1,24.9
13047,3130.8,194.5,,7.3,,57.2,11.3
13049,203.1,178.2,,2.5,,17.9,9.3
13051,222.9,90.4,,2.4,,3,1.1
13053,36.7,17.5,,0.7,,11.1,4.5
13055,6596.5,591.8,0.7,14.3,21.6,1264.9,145.7
13057,1325.7,52.1,,11.7,,42.9,29.4
13059,375.7,9.4,0.3,8.3,4.5,197.4,22.5
13061,710.8,334.1,13.6,12.2,6.5,1897.1,273.3
13063,96.3,,,1.9,,2.8,
13065,204.8,218,,5,,44.6,13.8
13067,232.8,51.9,,2.1,,9.6,8.2
13069,2556.7,2854.3,15.3,65.8,19.6,20289.4,781.1
13071,2401.8,2108,9.5,46.7,31.2,30796.3,2649.1
13073,879.8,44.4,,4.2,,64.6,12.9
13075,615.6,1173.3,4.5,15.5,20.6,11137.3,701.2
13077,1296.2,81.2,0.5,30.5,5.4,381.5,37.4
13079,785,49.2,0.7,15.6,14.3,4617.8,2509.8
13081,1192.9,814.1,11.5,37.1,11.9,18990.7,1582.5
13083,1698,267.3,,3.1,,20.4,8.4
13085,922.3,846.3,,8.8,,31.4,7.5
13087,3017.5,6246.2,32.3,51.4,87.9,10992.6,1306.7
13089,91.3,,,0.8,,1.8,0.3
13091,1539.9,605.1,1.2,31.5,10,10234,357.3
13093,2274.2,455.3,33.4,82.1,42,35794.6,1718.1
13095,659.5,407.4,12.3,13.9,7.5,12166.1,2493.1
13097,303.4,17.2,,6.1,,11.3,2.4
13099,3139.2,1844.8,33.2,56.6,8.5,10022.9,1046.2
13101,322.6,580.7,,5.6,3.5,854.9,248.2
13103,1766.9,6123.8,1.6,19.8,14.2,1605.8,239.6
13105,2398.4,476.9,0.1,17.3,3.3,1708,94.7
13107,5731.1,3387.9,1.3,37,4.2,8221.4,1343.8
13109,662.3,718.7,1.1,8.3,15.5,2187.6,378.8
13111,459.2,386.4,,3.6,,95,37.9
13113,535.1,25.8,0.2,10.7,2.4,185,13.9
13115,12447.6,1645.7,1.3,30.7,37.8,2850.8,369
13117,1312.4,61.8,,11.3,,57,17.6
13119,3438.8,481.9,0.2,22.2,4.9,505.8,77.1
13121,828.9,80.1,,7.2,,35.8,17.1
13123,797.1,668.4,,6.1,,185.8,77.6
13125,791.6,390.1,0.4,10.3,2.7,474.6,83.8
13127,372,11.2,,3.5,,1.9,0.1
13129,9915.6,2203.9,4.9,28.9,145,4114.2,286.7
13131,4304,3036.8,20.1,60.5,20.4,7442.4,976.3
13133,984.8,227.4,,15,,160.7,19.4
13135,643.8,47.1,,5.7,,19.5,14.1
13137,1956.6,242.6,,14,,153.2,61.9
13139,2677.1,993.4,,27.2,,209.3,54.7
13141,462.4,60.4,,5,,244.5,78.3
13143,1103.9,259,0.6,25.6,7.2,167,20.7
13145,1129.3,22.8,,26,,179.8,30.3
13147,3365.3,1293,0.7,46.8,18.9,1952.4,157.6
13149,1178.9,59.2,,25.8,,444,29.8
13151,1851.6,49.8,0.4,43.2,5,1217.1,110.6
13153,1622.2,1025.5,3.7,75.3,64.2,9519.4,826.4
13155,2366.6,7388.5,9.6,74.9,19.4,15765.3,909.6
13157,3043.1,62.1,0.7,39.6,10.7,350.3,51.3
13159,1018.1,205.2,,14.5,,270.5,60.7
13161,528.9,1082.2,12.8,18,16.7,10914.8,238.5
13163,6108.6,7886.3,2.7,164.1,30.5,8093.5,1279.1
13165,3542.2,4176.8,1.8,38.5,8.9,5923.9,806.4
13167,1320,221.4,1.9,37.7,37.1,5245.1,180.5
13169,576.7,178.9,0.9,8.9,18.5,947.7,150.8
13171,1230,335,0.3,41.1,3.6,1486.1,150.9
13173,338.9,872,3.4,12.8,4.3,4596.7,325.9
13175,2815,1464.6,5.6,93.1,99.8,8991.6,541.5
13177,2314.6,1396.8,13.3,43.9,25,10977.8,1492.3
13179,296.1,216.5,0.2,3.5,4.2,66.5,4.5
13181,866.8,26.5,,3.6,,16.7,20.3
13183,128.4,179.7,0.2,1.8,3.6,267.5,30.8
13185,739.1,1659.4,13.1,22.4,34.7,7469.3,817.3
13187,662.5,660.4,,9.2,,60.5,11.9
13189,1897.1,401.8,0.1,11.5,2.1,332.2,83.7
13191,434.9,,,4,,2,
13193,2086.6,1795.8,2.9,75.5,27.4,16412.5,2037.4
13195,2699.8,312.8,0.2,20.8,4.9,474.8,70.5
13197,881,227.5,1.2,25.2,10.7,1349.3,335.1
13199,2538.3,49.2,0.4,57.3,4.8,778,102.1
13201,3978.1,2530.3,26.7,46.3,6.6,7806.6,722.1
13205,4098.5,4171,27.1,63.9,21.4,19134.9,2599.1
13207,1338.1,323.9,,20.6,,532.9,26.7
13209,813,269.3,0.8,14.7,14.3,3204.5,337.8
13211,1623.1,295.5,0.5,25.9,9.3,1711.7,135.4
13213,5969,1713.9,1,12.5,30.9,904.7,38.1
13215,343.3,,,6.9,,2.3,
13217,1245.9,76,0.3,26.5,5.5,326.9,32.7
13219,1674.1,305.3,0.2,19.7,3.6,916.5,83.7
13221,2362.2,592.6,0.1,20.2,3.6,478.8,65.7
13223,2354.9,651.9,,4.2,,10.4,4.2
13225,1486.2,574.2,0.7,30.4,14.3,11808.9,5957
13227,494.7,338.9,,4.5,,23.9,9
13229,1750.1,3432.4,1.7,27.3,14.3,7889.3,1336.5
13231,1418.4,45.7,0.2,34.3,2.6,1310.5,160.3
13233,5832.9,1077.8,0.8,14.2,24.7,1787.7,227.7
13235,1194.3,1231.3,2.4,59.7,18.5,20496,1443.7
13237,1040.2,310.5,0.4,22,9,381,31
13239,117.8,74.6,1.2,5.5,,470.6,41.3
13241,383.6,66.4,,2.3,,100.8,30.9
13243,1994.9,1130.3,34,15.7,21.1,4768.4,711.8
13245,580.2,419.2,0.2,7.6,2.6,646.5,61.7
13247,219.6,15,,2.6,,10.7,0.4
13249,539.5,184.4,1.2,21.3,10.7,2015.3,275.1
13251,5204.3,9520.5,5.6,39.4,39.5,9366.5,1449.1
13253,5153.2,3576,20,56.5,30.5,7178.3,607.7
13255,1086.3,118.6,0.8,31.6,9.5,1006,101.3
13257,665.3,0.7,,1.9,,38.1,20.5
13259,384.8,194,6,15.7,2.3,1085,184.1
13261,3855.6,2227.8,24.5,52.1,218.1,9430.1,1555.9
13263,601.1,12.3,,12.1,,58.7,23.2
13265,243.3,,,3.6,,14.8,1.3
13267,2943.5,2018.1,7.5,33,131.1,6266.5,1104.9
13269,715.6,79.1,1.4,19.1,13.1,3470,320
