FIPS,FIPSTEXT,FarmLand_Ac
21051,21051,35141
21053,21053,74101
21055,21055,148819
21057,21057,65431
21059,21059,237324
21061,21061,84905
21063,21063,56386
21065,21065,52316
21067,21067,114907
21069,21069,183138
21071,21071,8056
21073,21073,78580
21075,21075,83427
21077,21077,27000
21079,21079,127224
21081,21081,98403
21083,21083,291677
21085,21085,201408
21087,21087,152493
21089,21089,78701
21091,21091,52243
21093,21093,203045
21095,21095,6261
21097,21097,164505
21099,21099,182414
21101,21101,175710
21103,21103,128435
21105,21105,141101
21107,21107,163030
21109,21109,77766
21111,21111,23143
21113,21113,83624
21115,21115,24310
21117,21117,38144
21119,21119,6749
21121,21121,33623
21123,21123,111981
21125,21125,96096
21127,21127,41759
21129,21129,22189
21131,21131,#VALUE!
21133,21133,2811
21135,21135,118044
21137,21137,180828
21139,21139,123247
21141,21141,275977
21143,21143,41605
21145,21145,67181
21147,21147,18028
21149,21149,124419
21151,21151,232854
21153,21153,44416
21155,21155,166401
21157,21157,94863
21159,21159,#VALUE!
21161,21161,126787
21163,21163,119433
21165,21165,40912
21167,21167,144281
21169,21169,125312
21171,21171,172223
21173,21173,99410
21175,21175,118790
21177,21177,128840
21179,21179,187847
21181,21181,102171
21183,21183,158235
21185,21185,60394
21187,21187,131904
21189,21189,27542
21191,21191,101285
21193,21193,10870
21195,21195,13595
21197,21197,30011
21199,21199,227968
21201,21201,38818
21203,21203,90760
21205,21205,42264
21207,21207,89287
21209,21209,127495
21211,21211,199229
21213,21213,101476
21215,21215,69177
21217,21217,114543
21219,21219,180957
21221,21221,129110
21223,21223,55612
21225,21225,194848
21227,21227,246796
21229,21229,140837
21231,21231,128731
21233,21233,152322
21235,21235,58284
21237,21237,42515
21239,21239,111896
22001,22001,238152
22003,22003,87761
22005,22005,50479
22007,22007,62206
22009,22009,298858
22011,22011,145918
22013,22013,56076
22015,22015,81200
22017,22017,140002
22019,22019,337853
22021,22021,62345
22023,22023,235185
22025,22025,223850
22027,22027,57008
22029,22029,240430
22031,22031,164343
22033,22033,57410
22035,22035,250941
22037,22037,112589
22039,22039,191613
22041,22041,246236
22043,22043,48150
22045,22045,107290
22047,22047,163516
22049,22049,18578
22051,22051,7757
22053,22053,265131
22055,22055,55727
22057,22057,157941
22059,22059,19590
22061,22061,55854
22063,22063,27379
22065,22065,224597
22067,22067,278799
22069,22069,201163
22071,22071,108
22073,22073,92977
22075,22075,88896
22077,22077,182274
22079,22079,210882
22081,22081,135217
22083,22083,279194
22085,22085,51584
22087,22087,31892
22089,22089,16174
22091,22091,53060
22093,22093,39883
22095,22095,10698
22097,22097,300971
22099,22099,76009
22101,22101,76087
22103,22103,34096
22105,22105,106859
22107,22107,196749
22109,22109,93023
22111,22111,62862
22113,22113,283823
22115,22115,49292
22117,22117,81415
22119,22119,52388
22121,22121,30290
22123,22123,165725
22125,22125,101160
22127,22127,24930
23001,23001,59297
23003,23003,350098
23005,23005,62575
23007,23007,48873
23009,23009,52815
23011,23011,78283
23013,23013,29444
23015,23015,31508
23017,23017,75764
23019,23019,113058
23021,23021,45631
23023,23023,20156
23025,23025,140650
23027,23027,130808
23029,23029,149251
23031,23031,64681
24001,24001,36203
24003,24003,28139
24005,24005,62041
24009,24009,32884
24011,24011,150265
24013,24013,132633
24015,24015,76680
24017,24017,46584
24019,24019,126320
24021,24021,181333
24023,24023,95554
24025,24025,65461
24027,24027,37421
24029,24029,133154
24031,24031,63739
24033,24033,29037
24035,24035,156760
24037,24037,67253
24039,24039,65276
24041,24041,119447
24043,24043,129493
24045,24045,83630
24047,24047,99200
25001,25001,4794
25003,25003,61695
25005,25005,34689
25007,25007,12682
25009,25009,22375
25011,25011,89947
25013,25013,38701
25015,25015,53989
25017,25017,28260
25019,25019,1269
25021,25021,9379
25023,25023,64090
25025,25025,37
25027,25027,101515
26001,26001,38428
26003,26003,17569
26005,26005,270416
26007,26007,69173
26009,26009,64235
26011,26011,81584
26013,26013,17825
26015,26015,165309
26017,26017,193622
26019,26019,20666
26021,26021,156245
26023,26023,244050
26025,26025,224646
26027,26027,188823
26029,26029,37569
26031,26031,45320
26033,26033,92762
26035,26035,62488
26037,26037,243966
26039,26039,2849
26041,26041,70453
26043,26043,28733
26045,26045,223078
26047,26047,39796
26049,26049,123112
26051,26051,67121
26053,26053,6348
26055,26055,54681
26057,26057,289189
26059,26059,262230
26061,26061,27125
26063,26063,452154
26065,26065,200734
26067,26067,248264
26069,26069,37954
26071,26071,23134
26073,26073,188388
26075,26075,183227
26077,26077,143562
26079,26079,25792
26081,26081,157325
26083,26083,346
26085,26085,26154
26087,26087,175632
26089,26089,59549
26091,26091,344435
26093,26093,86081
26095,26095,11508
26097,26097,22236
26099,26099,68085
26101,26101,44427
26103,26103,30102
26105,26105,78874
26107,26107,122925
26109,26109,91542
26111,26111,89540
26113,26113,99404
26115,26115,214536
26117,26117,236972
26119,26119,24490
26121,26121,74441
26123,26123,125811
26125,26125,31647
26127,26127,130633
26129,26129,68159
26131,26131,29366
26133,26133,110551
26135,26135,16653
26137,26137,32302
26139,26139,186112
26141,26141,81365
26143,26143,7316
26145,26145,309938
26147,26147,180008
26149,26149,221703
26151,26151,457105
26153,26153,19491
26155,26155,223518
26157,26157,325461
26159,26159,175043
26161,26161,170333
26163,26163,15667
26165,26165,40135
27001,27001,122420
27003,27003,44936
27005,27005,435149
27007,27007,181139
27009,27009,188666
27011,27011,248795
27013,27013,376659
27015,27015,326163
27017,27017,92610
27019,27019,155277
27021,27021,156542
27023,27023,335090
27025,27025,113653
27027,27027,610727
27029,27029,166874
27031,27031,1859
27033,27033,372703
27035,27035,99678
27037,27037,219937
27039,27039,225472
27041,27041,267337
27043,27043,390322
27045,27045,422241
27047,27047,381941
27049,27049,398163
27051,27051,302909
27053,27053,68736
27055,27055,229296
27057,27057,116737
27059,27059,142505
27061,27061,83640
27063,27063,357672
27065,27065,128853
27067,27067,414847
27069,27069,470464
27071,27071,53640
27073,27073,446527
27075,27075,4050
27077,27077,90539
27079,27079,241780
27081,27081,290962
27083,27083,412872
27085,27085,263908
27087,27087,216009
27089,27089,820219
27091,27091,428542
27093,27093,303590
27095,27095,127837
27097,27097,436355
27099,27099,449787
27101,27101,407711
27103,27103,274196
27105,27105,380771
27107,27107,532331
27109,27109,264331
27111,27111,882190
27113,27113,271886
27115,27115,203225
27117,27117,241977
27119,27119,1094972
27121,27121,333812
27123,27123,682
27125,27125,198700
27127,27127,521241
27129,27129,621518
27131,27131,236734
27133,27133,280675
27135,27135,556314
27137,27137,127950
27139,27139,141133
27141,27141,112210
27143,27143,346298
27145,27145,757133
27147,27147,237851
27149,27149,319229
27151,27151,360927
27153,27153,393710
27155,27155,348546
27157,27157,245647
27159,27159,148953
27161,27161,231664
27163,27163,80937
27165,27165,237172
27167,27167,444111
27169,27169,277281
27171,27171,288194
27173,27173,394975
28001,28001,65986
28003,28003,93449
28005,28005,121021
28007,28007,125589
28009,28009,82494
28011,28011,390500
28013,28013,175315
28015,28015,168871
28017,28017,166029
28019,28019,63430
28021,28021,82978
28023,28023,56211
28025,28025,130171
28027,28027,260969
28029,28029,115902
28031,28031,105932
28033,28033,118574
28035,28035,42652
28037,28037,50170
28039,28039,60967
28041,28041,68881
28043,28043,88338
28045,28045,25177
28047,28047,24247
28049,28049,251045
28051,28051,237777
28053,28053,193655
28055,28055,124508
28057,28057,94794
28059,28059,37470
28061,28061,96946
28063,28063,85851
28065,28065,59078
28067,28067,125845
28069,28069,123570
28071,28071,108756
28073,28073,63948
28075,28075,68902
28077,28077,72766
28079,28079,105945
28081,28081,133041
28083,28083,293167
28085,28085,108409
28087,28087,119364
28089,28089,202995
28091,28091,81575
28093,28093,203379
28095,28095,228181
28097,28097,97154
28099,28099,101438
28101,28101,109099
28103,28103,213108
28105,28105,104691
28107,28107,272742
28109,28109,118324
28111,28111,43492
28113,28113,71987
28115,28115,152587
28117,28117,93220
28119,28119,208662
28121,28121,125555
28123,28123,115023
28125,28125,155281
28127,28127,109349
28129,28129,108318
28131,28131,45618
28133,28133,372435
28135,28135,340675
28137,28137,153098
28139,28139,123939
28141,28141,49423
28143,28143,211551
28145,28145,121023
28147,28147,118141
28149,28149,124671
28151,28151,342309
28153,28153,93394
28155,28155,80551
28157,28157,103289
28159,28159,97933
28161,28161,94472
28163,28163,350505
29001,29001,273041
29003,29003,198552
29005,29005,263047
29007,29007,436385
29009,29009,267967
29011,29011,332232
29013,29013,448197
29015,29015,240614
29017,29017,200102
29019,29019,240874
29021,29021,188795
29023,29023,234298
29025,29025,244510
29027,29027,316205
29029,29029,138552
29031,29031,252889
29033,29033,431665
29035,29035,73709
29037,29037,319202
29039,29039,189793
29041,29041,406236
29043,29043,179326
29045,29045,240950
29047,29047,110709
29049,29049,191715
29051,29051,176400
29053,29053,307233
29055,29055,194361
29057,29057,245554
29059,29059,218058
29061,29061,315080
29063,29063,242971
29065,29065,187889
29067,29067,254110
29069,29069,279811
29071,29071,291715
29073,29073,208930
29075,29075,253180
29077,29077,210483
29079,29079,203922
29081,29081,400903
29083,29083,357727
29085,29085,181729
29087,29087,200179
29089,29089,243393
29091,29091,353689
29093,29093,70434
29095,29095,111031
29097,29097,246810
29099,29099,97498
29101,29101,390625
29103,29103,280954
29105,29105,320073
29107,29107,326987
29109,29109,311251
29111,29111,284116
29113,29113,281100
29115,29115,335668
29117,29117,283450
29119,29119,186444
29121,29121,386118
29123,29123,106946
29125,29125,241483
29127,29127,221468
29129,29129,226845
29131,29131,248415
29133,29133,244974
29135,29135,235070
29137,29137,355639
29139,29139,279080
29141,29141,198126
29143,29143,344654
29145,29145,247902
29147,29147,423749
29149,29149,253746
29151,29151,283391
29153,29153,228855
29155,29155,305126
29157,29157,226476
29159,29159,419594
